geonameid,Place Name,latitude,longitude,feature_class,Category,State Code,City Code,Estimated Visitors,Tourism Rank,Popularity Level
10691774,Siwalik Hills,32.07415,75.90794,T,Mountain Range,11.0,Unknown,10000,2.81,Less Explored
10692108,Jotiba,20.01073,75.98421,S,Temple,16.0,514.0,20000,2.83,Less Explored
10692265,Guru Hargobind Sahib,31.66844,74.68387,S,Shrine,23.0,49.0,10000,2.81,Less Explored
10692305,Gurusar Satlani Sahib,31.59416,74.68068,S,Shrine,23.0,49.0,10000,2.81,Less Explored
10692713,Kharra Pahar,22.15129,80.10197,T,Mountain,35.0,457.0,5000,2.79,Less Explored
10692734,Gurera Pahar,22.0911,80.03992,T,Mountain,35.0,456.0,5000,2.79,Less Explored
10692736,Tedwa Pahar,22.07235,80.0264,T,Mountain,35.0,457.0,5000,2.79,Less Explored
10692738,Phandkahi Pahar,22.06095,80.05594,T,Mountain,35.0,457.0,5000,2.79,Less Explored
10692792,Kapar Pahar,22.11112,80.18279,T,Mountain,35.0,457.0,5000,2.79,Less Explored
10692804,Kodarasi Pahar,22.17707,80.13967,T,Mountain,35.0,457.0,5000,2.79,Less Explored
10692806,Chandwa Pahar,22.19888,80.1947,T,Mountain,35.0,457.0,5000,2.79,Less Explored
10692815,Nagarkhana Pahar,22.22385,80.16418,T,Mountain,35.0,457.0,5000,2.79,Less Explored
10692816,Chhinbari Pahar,22.22437,80.19169,T,Mountain,35.0,457.0,5000,2.79,Less Explored
10692827,Amanara,22.2371,80.22137,T,Mountain,35.0,457.0,5000,2.79,Less Explored
10692831,Mahadeomandi Pahar,22.17719,80.22474,T,Mountain,35.0,457.0,5000,2.79,Less Explored
10692836,Durendagal Pahar,22.01803,80.2394,T,Mountain,35.0,457.0,5000,2.79,Less Explored
10692837,Batsauchechra Pahar,22.01216,80.19497,T,Mountain,35.0,457.0,5000,2.79,Less Explored
10692839,Faram Tongi,22.17723,80.18698,T,Mountain,35.0,457.0,5000,2.79,Less Explored
10692862,Baba Gher Shah Ziarat,31.22905,74.72858,S,Shrine,23.0,50.0,10000,2.81,Less Explored
10693166,Sarnau Range,24.85552,72.89119,T,Mountain Range,24.0,Unknown,10000,2.81,Less Explored
